id,player_statistic_id,type_id,value
44430087,1370995139,41,"{""total"":1}"
38483953,1370995139,42,"{""total"":4}"
38483919,1370995139,56,"{""total"":6}"
44278631,1370995139,58,"{""total"":1}"
38483957,1370995139,59,"{""in"":9,""out"":1}"
38483958,1370995139,78,"{""total"":8}"
38483941,1370995139,80,"{""total"":119}"
38867813,1370995139,84,"{""total"":2,""home"":0,""away"":2}"
38483955,1370995139,86,"{""total"":2}"
44060763,1370995139,88,"{""total"":4}"
43872061,1370995139,94,"{""total"":3}"
44430078,1370995139,96,"{""total"":1}"
44467838,1370995139,97,"{""total"":1}"
44430088,1370995139,98,"{""total"":2}"
44430074,1370995139,99,"{""total"":1}"
44430082,1370995139,100,"{""total"":1}"
38970438,1370995139,101,"{""total"":5}"
38483910,1370995139,105,"{""total"":25}"
38483913,1370995139,106,"{""total"":11}"
44278626,1370995139,107,"{""total"":1}"
44278660,1370995139,108,"{""total"":1}"
44278661,1370995139,109,"{""total"":1}"
38483908,1370995139,110,"{""total"":5}"
38483893,1370995139,116,"{""total"":107}"
44430083,1370995139,117,"{""total"":1}"
38483946,1370995139,118,"{""average"":6.58,""highest"":6.8,""lowest"":6.12}"
38483938,1370995139,119,"{""total"":171}"
38483933,1370995139,122,"{""total"":9}"
38483936,1370995139,123,"{""total"":8}"
40175143,1370995139,194,"{""total"":2,""home"":1,""away"":1}"
40175230,1370995139,214,"{""total"":3}"
40175153,1370995139,215,"{""total"":2}"
40175185,1370995139,216,"{""total"":5}"
38483894,1370995139,321,"{""total"":10}"
44430085,1370995139,322,"{""total"":1}"
37891347,1370995139,323,"{""total"":23}"
44430075,1370995139,580,"{""total"":1}"
38483892,1370995139,1584,"{""total"":89.92}"
44430076,1370995139,27255,"{""crosses_blocked"":1}"
43992619,1535138704,59,"{""in"":1,""out"":0}"
44052119,1535138704,101,"{""total"":1}"
44052121,1535138704,105,"{""total"":1}"
44052122,1535138704,106,"{""total"":1}"
44052118,1535138704,107,"{""total"":1}"
44052123,1535138704,119,"{""total"":1}"
44052120,1535138704,215,"{""total"":1}"
43992609,1535138704,321,"{""total"":1}"
38157539,1535138704,323,"{""total"":8}"
38372281,1324088973,41,"{""total"":10}"
37891805,1324088973,42,"{""total"":18}"
38372247,1324088973,51,"{""total"":3}"
37891499,1324088973,56,"{""total"":17}"
37891818,1324088973,58,"{""total"":6}"
38590941,1324088973,59,"{""in"":12,""out"":3}"
37891850,1324088973,78,"{""total"":33}"
37891695,1324088973,80,"{""total"":1165}"
38867816,1324088973,84,"{""total"":5,""home"":3,""away"":2}"
44186219,1324088973,85,"{""total"":1,""home"":1,""away"":0}"
38372283,1324088973,86,"{""total"":5}"
37891548,1324088973,88,"{""total"":37}"
38590893,1324088973,94,"{""total"":2}"
37891517,1324088973,96,"{""total"":14}"
37891341,1324088973,97,"{""total"":17}"
38024145,1324088973,98,"{""total"":2}"
38590886,1324088973,99,"{""total"":1}"
38024044,1324088973,100,"{""total"":38}"
37891388,1324088973,101,"{""total"":116}"
37891440,1324088973,105,"{""total"":168}"
37891455,1324088973,106,"{""total"":111}"
38023972,1324088973,107,"{""total"":57}"
38590896,1324088973,108,"{""total"":14}"
38590900,1324088973,109,"{""total"":9}"
38023996,1324088973,110,"{""total"":12}"
37891245,1324088973,116,"{""total"":1009}"
43898174,1324088973,117,"{""total"":5}"
37891767,1324088973,118,"{""average"":6.91,""highest"":7.6,""lowest"":6.3}"
37891661,1324088973,119,"{""total"":1948}"
37891638,1324088973,122,"{""total"":139}"
37891650,1324088973,123,"{""total"":64}"
38023983,1324088973,194,"{""total"":6,""home"":1,""away"":5}"
40175186,1324088973,214,"{""total"":9}"
40175095,1324088973,215,"{""total"":8}"
40175136,1324088973,216,"{""total"":15}"
37891268,1324088973,321,"{""total"":32}"
37891613,1324088973,322,"{""total"":20}"
38590890,1324088973,323,"{""total"":15}"
43898167,1324088973,580,"{""total"":2}"
44930786,1324088973,581,"{""total"":3}"
37891227,1324088973,1584,"{""total"":86.61}"
38023990,1324088973,27255,"{""crosses_blocked"":1}"
38970433,1532367076,323,"{""total"":9}"
44668859,1649859064,41,"{""total"":1}"
44668858,1649859064,42,"{""total"":3}"
44430084,1649859064,51,"{""total"":1}"
44430077,1649859064,56,"{""total"":4}"
44186239,1649859064,58,"{""total"":3}"
43992617,1649859064,59,"{""in"":8,""out"":4}"
43992618,1649859064,78,"{""total"":17}"
43992614,1649859064,80,"{""total"":292}"
44822947,1649859064,84,"{""total"":1,""home"":0,""away"":1}"
43992610,1649859064,88,"{""total"":8}"
44822941,1649859064,94,"{""total"":3}"
44930793,1649859064,96,"{""total"":3}"
44149170,1649859064,97,"{""total"":2}"
44026661,1649859064,98,"{""total"":13}"
44149168,1649859064,99,"{""total"":2}"
44430080,1649859064,100,"{""total"":10}"
